id,fips_st,fips_co,state,co,location_type_id,nutrient_type_id,amount,year
1,19,1,IA,Adair,1,1,7027411,1987
2,19,3,IA,Adams,1,1,3802662,1987
3,19,5,IA,Allamakee,1,1,5074068,1987
4,19,7,IA,Appanoose,1,1,2797095,1987
5,19,9,IA,Audubon,1,1,6830921,1987
6,19,11,IA,Benton,1,1,12935324,1987
7,19,13,IA,Black Hawk,1,1,8889939,1987
8,19,15,IA,Boone,1,1,8761148,1987
9,19,17,IA,Bremer,1,1,7882721,1987
10,19,19,IA,Buchanan,1,1,11810872,1987
11,19,21,IA,Buena Vista,1,1,8911405,1987
12,19,23,IA,Butler,1,1,9839366,1987
13,19,25,IA,Calhoun,1,1,8676938,1987
14,19,27,IA,Carroll,1,1,9182198,1987
15,19,29,IA,Cass,1,1,6726897,1987
16,19,31,IA,Cedar,1,1,10032554,1987
17,19,33,IA,Cerro Gordo,1,1,8989010,1987
18,19,35,IA,Cherokee,1,1,7595416,1987
19,19,37,IA,Chickasaw,1,1,9089732,1987
20,19,39,IA,Clarke,1,1,2973771,1987
21,19,41,IA,Clay,1,1,7796860,1987
22,19,43,IA,Clayton,1,1,10281882,1987
23,19,45,IA,Clinton,1,1,13070721,1987
24,19,47,IA,Crawford,1,1,9360525,1987
25,19,49,IA,Dallas,1,1,7319670,1987
26,19,51,IA,Davis,1,1,3873662,1987
27,19,53,IA,Decatur,1,1,3412984,1987
28,19,55,IA,Delaware,1,1,12155968,1987
29,19,57,IA,Des Moines,1,1,5280466,1987
30,19,59,IA,Dickinson,1,1,4446621,1987
31,19,61,IA,Dubuque,1,1,9089732,1987
32,19,63,IA,Emmet,1,1,5709772,1987
33,19,65,IA,Fayette,1,1,12317784,1987
34,19,67,IA,Floyd,1,1,7616882,1987
35,19,69,IA,Franklin,1,1,9978065,1987
36,19,71,IA,Fremont,1,1,5407606,1987
37,19,73,IA,Greene,1,1,8587774,1987
38,19,75,IA,Grundy,1,1,9969810,1987
39,19,77,IA,Guthrie,1,1,5689958,1987
40,19,79,IA,Hamilton,1,1,8563006,1987
41,19,81,IA,Hancock,1,1,10338022,1987
42,19,83,IA,Hardin,1,1,9637923,1987
43,19,85,IA,Harrison,1,1,9448037,1987
44,19,87,IA,Henry,1,1,5909564,1987
45,19,89,IA,Howard,1,1,7138040,1987
46,19,91,IA,Humboldt,1,1,6920085,1987
47,19,93,IA,Ida,1,1,6505639,1987
48,19,95,IA,Iowa,1,1,8503564,1987
49,19,97,IA,Jackson,1,1,7083551,1987
50,19,99,IA,Jasper,1,1,10313254,1987
51,19,101,IA,Jefferson,1,1,6228241,1987
52,19,103,IA,Johnson,1,1,8406144,1987
53,19,105,IA,Jones,1,1,9798087,1987
54,19,107,IA,Keokuk,1,1,10144834,1987
55,19,109,IA,Kossuth,1,1,16815591,1987
56,19,111,IA,Lee,1,1,6365289,1987
57,19,113,IA,Linn,1,1,9760110,1987
58,19,115,IA,Louisa,1,1,5706469,1987
59,19,117,IA,Lucas,1,1,2793792,1987
60,19,119,IA,Lyon,1,1,7937210,1987
61,19,121,IA,Madison,1,1,4355806,1987
62,19,123,IA,Mahaska,1,1,8061048,1987
63,19,125,IA,Marion,1,1,5176441,1987
64,19,127,IA,Marshall,1,1,7909140,1987
65,19,129,IA,Mills,1,1,5359722,1987
66,19,131,IA,Mitchell,1,1,6994388,1987
67,19,133,IA,Monona,1,1,9523992,1987
68,19,135,IA,Monroe,1,1,3135586,1987
69,19,137,IA,Montgomery,1,1,5704818,1987
70,19,139,IA,Muscatine,1,1,6784688,1987
71,19,141,IA,O'Brien,1,1,11105820,1987
72,19,143,IA,Osceola,1,1,5448886,1987
73,19,145,IA,Page,1,1,5711423,1987
74,19,147,IA,Palo Alto,1,1,9259803,1987
75,19,149,IA,Plymouth,1,1,11700243,1987
76,19,151,IA,Pocahontas,1,1,8676938,1987
77,19,153,IA,Polk,1,1,6979527,1987
78,19,155,IA,Pottawattamie,1,1,13095488,1987
79,19,157,IA,Poweshiek,1,1,7947117,1987
80,19,159,IA,Ringgold,1,1,3581404,1987
81,19,161,IA,Sac,1,1,8280655,1987
82,19,163,IA,Scott,1,1,7669719,1987
83,19,165,IA,Shelby,1,1,9748552,1987
84,19,167,IA,Sioux,1,1,14054823,1987
85,19,169,IA,Story,1,1,8521727,1987
86,19,171,IA,Tama,1,1,11168564,1987
87,19,173,IA,Taylor,1,1,3805964,1987
88,19,175,IA,Union,1,1,3067888,1987
89,19,177,IA,Van Buren,1,1,4118037,1987
90,19,179,IA,Wapello,1,1,3929802,1987
91,19,181,IA,Warren,1,1,4619995,1987
92,19,183,IA,Washington,1,1,8492006,1987
93,19,185,IA,Wayne,1,1,3528566,1987
94,19,187,IA,Webster,1,1,9542155,1987
95,19,189,IA,Winnebago,1,1,6195218,1987
96,19,191,IA,Winneshiek,1,1,8206352,1987
97,19,193,IA,Woodbury,1,1,11715104,1987
98,19,195,IA,Worth,1,1,6043310,1987
99,19,197,IA,Wright,1,1,8952684,1987
100,19,1,IA,Adair,1,1,7452230,1988
101,19,3,IA,Adams,1,1,4071447,1988
102,19,5,IA,Allamakee,1,1,5478260,1988
103,19,7,IA,Appanoose,1,1,3099720,1988
104,19,9,IA,Audubon,1,1,7323942,1988
105,19,11,IA,Benton,1,1,13795911,1988
106,19,13,IA,Black Hawk,1,1,9932284,1988
107,19,15,IA,Boone,1,1,9352050,1988
108,19,17,IA,Bremer,1,1,8645648,1988
109,19,19,IA,Buchanan,1,1,12692311,1988
110,19,21,IA,Buena Vista,1,1,9792796,1988
111,19,23,IA,Butler,1,1,10280726,1988
112,19,25,IA,Calhoun,1,1,9749640,1988
113,19,27,IA,Carroll,1,1,9932813,1988
114,19,29,IA,Cass,1,1,7494458,1988
115,19,31,IA,Cedar,1,1,10902195,1988
116,19,33,IA,Cerro Gordo,1,1,9862174,1988
117,19,35,IA,Cherokee,1,1,8336494,1988
118,19,37,IA,Chickasaw,1,1,9669482,1988
119,19,39,IA,Clarke,1,1,2968922,1988
120,19,41,IA,Clay,1,1,8362646,1988
121,19,43,IA,Clayton,1,1,10998858,1988
122,19,45,IA,Clinton,1,1,13918119,1988
123,19,47,IA,Crawford,1,1,10482029,1988
124,19,49,IA,Dallas,1,1,7969846,1988
125,19,51,IA,Davis,1,1,3965541,1988
126,19,53,IA,Decatur,1,1,3392923,1988
127,19,55,IA,Delaware,1,1,12748022,1988
128,19,57,IA,Des Moines,1,1,5696725,1988
129,19,59,IA,Dickinson,1,1,5145651,1988
130,19,61,IA,Dubuque,1,1,9917499,1988
131,19,63,IA,Emmet,1,1,6228387,1988
132,19,65,IA,Fayette,1,1,13535311,1988
133,19,67,IA,Floyd,1,1,8357929,1988
134,19,69,IA,Franklin,1,1,10714656,1988
135,19,71,IA,Fremont,1,1,6167673,1988
136,19,73,IA,Greene,1,1,9535017,1988
137,19,75,IA,Grundy,1,1,10621291,1988
138,19,77,IA,Guthrie,1,1,6598862,1988
139,19,79,IA,Hamilton,1,1,9182537,1988
140,19,81,IA,Hancock,1,1,10832525,1988
141,19,83,IA,Hardin,1,1,10350320,1988
142,19,85,IA,Harrison,1,1,10401930,1988
143,19,87,IA,Henry,1,1,6395289,1988
144,19,89,IA,Howard,1,1,7931114,1988
145,19,91,IA,Humboldt,1,1,7805039,1988
146,19,93,IA,Ida,1,1,7071369,1988
147,19,95,IA,Iowa,1,1,8795764,1988
148,19,97,IA,Jackson,1,1,7524974,1988
149,19,99,IA,Jasper,1,1,11209677,1988
150,19,101,IA,Jefferson,1,1,6399040,1988
151,19,103,IA,Johnson,1,1,8795780,1988
152,19,105,IA,Jones,1,1,10448655,1988
153,19,107,IA,Keokuk,1,1,10390148,1988
154,19,109,IA,Kossuth,1,1,18440268,1988
155,19,111,IA,Lee,1,1,6772133,1988
156,19,113,IA,Linn,1,1,10337680,1988
157,19,115,IA,Louisa,1,1,5996837,1988
158,19,117,IA,Lucas,1,1,2858942,1988
159,19,119,IA,Lyon,1,1,8478464,1988
160,19,121,IA,Madison,1,1,4864425,1988
161,19,123,IA,Mahaska,1,1,8548865,1988
162,19,125,IA,Marion,1,1,5468106,1988
163,19,127,IA,Marshall,1,1,8691263,1988
164,19,129,IA,Mills,1,1,5926434,1988
165,19,131,IA,Mitchell,1,1,7533567,1988
166,19,133,IA,Monona,1,1,10471322,1988
167,19,135,IA,Monroe,1,1,3075605,1988
168,19,137,IA,Montgomery,1,1,6043284,1988
169,19,139,IA,Muscatine,1,1,7136328,1988
170,19,141,IA,O'Brien,1,1,11732574,1988
171,19,143,IA,Osceola,1,1,6152015,1988
172,19,145,IA,Page,1,1,6283166,1988
173,19,147,IA,Palo Alto,1,1,10026704,1988
174,19,149,IA,Plymouth,1,1,12738301,1988
175,19,151,IA,Pocahontas,1,1,9690519,1988
176,19,153,IA,Polk,1,1,7279627,1988
177,19,155,IA,Pottawattamie,1,1,14378169,1988
178,19,157,IA,Poweshiek,1,1,8494524,1988
179,19,159,IA,Ringgold,1,1,3850809,1988
180,19,161,IA,Sac,1,1,9199511,1988
181,19,163,IA,Scott,1,1,8296312,1988
182,19,165,IA,Shelby,1,1,10744706,1988
183,19,167,IA,Sioux,1,1,15036255,1988
184,19,169,IA,Story,1,1,9244915,1988
185,19,171,IA,Tama,1,1,12283701,1988
186,19,173,IA,Taylor,1,1,4208980,1988
187,19,175,IA,Union,1,1,3257905,1988
188,19,177,IA,Van Buren,1,1,4218558,1988
189,19,179,IA,Wapello,1,1,4169215,1988
190,19,181,IA,Warren,1,1,4905583,1988
191,19,183,IA,Washington,1,1,8841146,1988
192,19,185,IA,Wayne,1,1,3977314,1988
193,19,187,IA,Webster,1,1,10497402,1988
194,19,189,IA,Winnebago,1,1,6735604,1988
195,19,191,IA,Winneshiek,1,1,8750002,1988
196,19,193,IA,Woodbury,1,1,12765564,1988
197,19,195,IA,Worth,1,1,6604606,1988
198,19,197,IA,Wright,1,1,9928256,1988
199,19,1,IA,Adair,1,1,7409795,1989
200,19,3,IA,Adams,1,1,4088426,1989
201,19,5,IA,Allamakee,1,1,5547665,1989
202,19,7,IA,Appanoose,1,1,3219912,1989
203,19,9,IA,Audubon,1,1,7364901,1989
204,19,11,IA,Benton,1,1,13798516,1989
205,19,13,IA,Black Hawk,1,1,10396947,1989
206,19,15,IA,Boone,1,1,9362050,1989
207,19,17,IA,Bremer,1,1,8892058,1989
208,19,19,IA,Buchanan,1,1,12792891,1989
209,19,21,IA,Buena Vista,1,1,10090770,1989
210,19,23,IA,Butler,1,1,10063789,1989
211,19,25,IA,Calhoun,1,1,10259971,1989
212,19,27,IA,Carroll,1,1,10078096,1989
213,19,29,IA,Cass,1,1,7824332,1989
214,19,31,IA,Cedar,1,1,11111759,1989
215,19,33,IA,Cerro Gordo,1,1,10146416,1989
216,19,35,IA,Cherokee,1,1,8580040,1989
217,19,37,IA,Chickasaw,1,1,9645658,1989
218,19,39,IA,Clarke,1,1,2761443,1989
219,19,41,IA,Clay,1,1,8412527,1989
220,19,43,IA,Clayton,1,1,11034725,1989
221,19,45,IA,Clinton,1,1,13897964,1989
222,19,47,IA,Crawford,1,1,10995910,1989
223,19,49,IA,Dallas,1,1,8138853,1989
224,19,51,IA,Davis,1,1,3796080,1989
225,19,53,IA,Decatur,1,1,3139920,1989
226,19,55,IA,Delaware,1,1,12528030,1989
227,19,57,IA,Des Moines,1,1,5764464,1989
228,19,59,IA,Dickinson,1,1,5560453,1989
229,19,61,IA,Dubuque,1,1,10148281,1989
230,19,63,IA,Emmet,1,1,6371965,1989
231,19,65,IA,Fayette,1,1,13946388,1989
232,19,67,IA,Floyd,1,1,8599983,1989
233,19,69,IA,Franklin,1,1,10791347,1989
234,19,71,IA,Fremont,1,1,6579694,1989
235,19,73,IA,Greene,1,1,9922629,1989
236,19,75,IA,Grundy,1,1,10611175,1989
237,19,77,IA,Guthrie,1,1,7144445,1989
238,19,79,IA,Hamilton,1,1,9235419,1989
239,19,81,IA,Hancock,1,1,10636186,1989
240,19,83,IA,Hardin,1,1,10425338,1989
241,19,85,IA,Harrison,1,1,10737787,1989
242,19,87,IA,Henry,1,1,6491499,1989
243,19,89,IA,Howard,1,1,8259182,1989
244,19,91,IA,Humboldt,1,1,8242271,1989
245,19,93,IA,Ida,1,1,7209118,1989
246,19,95,IA,Iowa,1,1,8516668,1989
247,19,97,IA,Jackson,1,1,7495761,1989
248,19,99,IA,Jasper,1,1,11427622,1989
249,19,101,IA,Jefferson,1,1,6150257,1989
250,19,103,IA,Johnson,1,1,8623341,1989
251,19,105,IA,Jones,1,1,10449295,1989
252,19,107,IA,Keokuk,1,1,9951157,1989
253,19,109,IA,Kossuth,1,1,18963029,1989
254,19,111,IA,Lee,1,1,6756334,1989
255,19,113,IA,Linn,1,1,10265968,1989
256,19,115,IA,Louisa,1,1,5906332,1989
257,19,117,IA,Lucas,1,1,2735576,1989
258,19,119,IA,Lyon,1,1,8493604,1989
259,19,121,IA,Madison,1,1,5089942,1989
260,19,123,IA,Mahaska,1,1,8500715,1989
261,19,125,IA,Marion,1,1,5415023,1989
262,19,127,IA,Marshall,1,1,8955581,1989
263,19,129,IA,Mills,1,1,6143224,1989
264,19,131,IA,Mitchell,1,1,7610779,1989
265,19,133,IA,Monona,1,1,10795271,1989
266,19,135,IA,Monroe,1,1,2800511,1989
267,19,137,IA,Montgomery,1,1,6002265,1989
268,19,139,IA,Muscatine,1,1,7035300,1989
269,19,141,IA,O'Brien,1,1,11619716,1989
270,19,143,IA,Osceola,1,1,6502775,1989
271,19,145,IA,Page,1,1,6481172,1989
272,19,147,IA,Palo Alto,1,1,10183420,1989
273,19,149,IA,Plymouth,1,1,13007193,1989
274,19,151,IA,Pocahontas,1,1,10140160,1989
275,19,153,IA,Polk,1,1,7112422,1989
276,19,155,IA,Pottawattamie,1,1,14803172,1989
277,19,157,IA,Poweshiek,1,1,8515306,1989
278,19,159,IA,Ringgold,1,1,3883491,1989
279,19,161,IA,Sac,1,1,9578895,1989
280,19,163,IA,Scott,1,1,8417273,1989
281,19,165,IA,Shelby,1,1,11103484,1989
282,19,167,IA,Sioux,1,1,15086681,1989
283,19,169,IA,Story,1,1,9407018,1989
284,19,171,IA,Tama,1,1,12667925,1989
285,19,173,IA,Taylor,1,1,4363530,1989
286,19,175,IA,Union,1,1,3244059,1989
287,19,177,IA,Van Buren,1,1,4041329,1989
288,19,179,IA,Wapello,1,1,4147384,1989
289,19,181,IA,Warren,1,1,4884154,1989
290,19,183,IA,Washington,1,1,8621290,1989
291,19,185,IA,Wayne,1,1,4197701,1989
292,19,187,IA,Webster,1,1,10828241,1989
293,19,189,IA,Winnebago,1,1,6868475,1989
294,19,191,IA,Winneshiek,1,1,8749275,1989
295,19,193,IA,Woodbury,1,1,13046176,1989
296,19,195,IA,Worth,1,1,6769287,1989
297,19,197,IA,Wright,1,1,10320100,1989
298,19,1,IA,Adair,1,1,7381123,1990
299,19,3,IA,Adams,1,1,4114170,1990
300,19,5,IA,Allamakee,1,1,5630309,1990
301,19,7,IA,Appanoose,1,1,3350106,1990
302,19,9,IA,Audubon,1,1,7421951,1990
303,19,11,IA,Benton,1,1,13829118,1990
304,19,13,IA,Black Hawk,1,1,10896123,1990
305,19,15,IA,Boone,1,1,9391285,1990
306,19,17,IA,Bremer,1,1,9163607,1990
307,19,19,IA,Buchanan,1,1,12922275,1990
308,19,21,IA,Buena Vista,1,1,10417803,1990
